Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL246166,,None,469.52,0,4.25,20c,COC(=O)C(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1,IC50,'=',65,nM,7.19,,,UO_0000065,15.31,0.29,2.94,7.7,0,CHEMBL906393,Inhibition of Flt3 by HTRF assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1139908,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,,0.065
CHEMBL502835,NINTEDANIB,4,539.64,1,3.62,BIBF 1120,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,IC50,'=',26,nM,7.58,,,UO_0000065,14.06,0.26,3.97,8.05,0,CHEMBL1244095,Inhibition of human Flt3,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1240338,1,Scientific Literature,Cancer Res,2008,None,,,,26
CHEMBL5872644,,None,428.24,0,3.29,BDBM559440,O=C1Nc2ccc(C(=O)O)cc2/C1=C1/Nc2ccccc2/C1=N\OCCBr,IC50,'=',13,nM,7.89,,1181002,UO_0000065,18.42,0.4,4.6,7.88,0,CHEMBL5738213,In Vitro Kinase Assay: The inhibition of the FLT3 kinase activity was measured with homogeneous,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL102346,,None,485.54,0,4.79,21,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,IC50,'=',230,nM,6.64,,,UO_0000065,13.67,0.25,1.85,7.45,0,CHEMBL679498,Inhibition of Flt3 kinase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1135502,1,Scientific Literature,J Med Chem,2002,None,,,,0.23
CHEMBL5990790,,None,437.43,0,3.34,BDBM559452,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(F)cc2/C1=N\OCCN1CCCC1,IC50,'=',112,nM,6.95,,1181014,UO_0000065,15.89,0.3,3.61,6.37,0,CHEMBL5738213,In Vitro Kinase Assay: The inhibition of the FLT3 kinase activity was measured with homogeneous,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5866144,,None,482.38,0,3.21,BDBM559473,CN1CCN(CCO/N=C2C(=C3/C(=O)Nc4ccc(Br)cc43)/Nc3ccccc3/2)CC1,IC50,'=',4.8,nM,8.32,,1181035,UO_0000065,17.25,0.37,5.11,12.02,0,CHEMBL5738213,In Vitro Kinase Assay: The inhibition of the FLT3 kinase activity was measured with homogeneous,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1940117,,None,422.45,0,3.17,15,CCn1cc(NC(=O)Cc2cc(Oc3ccnc4cc(OC)c(OC)cc34)n[nH]2)cn1,IC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL1942933,Inhibition of FLT3 phosphorylation by cell based assay,B,BAO_0000219,cell-based format,None,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1938371,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,1
CHEMBL1940272,,None,433.47,0,3.84,30,CCn1cc(NC(=O)Cc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)cn1,IC50,'=',10,nM,8,,,UO_0000065,18.46,0.34,4.16,7.97,0,CHEMBL1942933,Inhibition of FLT3 phosphorylation by cell based assay,B,BAO_0000219,cell-based format,None,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1938371,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,0.01
CHEMBL3358966,,None,377.4,0,3.61,2,COc1cc(-c2nc(-c3c[nH]c4ccccc34)c[nH]c2=O)cc(OC)c1OC,IC50,'=',36000,nM,4.44,,,UO_0000065,11.77,0.22,0.83,4.98,0,CHEMBL3380459,Inhibition of human recombinant FLT3 using poly(Ala,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL238224,,None,437.55,0,3.44,13,CO/N=C/c1c(N)ncnc1N1CCN(C(=O)Nc2ccc(C3CCCCC3)cc2)CC1,IC50,'=',99,nM,7,,,UO_0000065,16.01,0.3,3.56,6.43,0,CHEMBL897762,Inhibition of human FLT3,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1149650,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,,0.099
CHEMBL391368,,None,397.48,0,2.52,10,CO/N=C/c1c(N)ncnc1N1CCN(C(=O)Nc2ccc(C(C)C)cc2)CC1,IC50,'=',15,nM,7.82,,,UO_0000065,19.68,0.37,5.3,7.18,0,CHEMBL897762,Inhibition of human FLT3,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1149650,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,,0.015
CHEMBL237551,,None,520.62,1,1.1,24,CC(C)Oc1ccc(NC(=O)N2CCN(c3ncnc(N)c3/C=N/OCCNS(C)(=O)=O)CC2)cc1,IC50,'=',146,nM,6.84,,,UO_0000065,13.13,0.26,5.74,4.16,0,CHEMBL897762,Inhibition of human FLT3,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1149650,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,,0.146
CHEMBL183513,OROXYLIN A,None,284.27,0,2.88,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3353347,,None,434.54,1,5.17,BDBM50044657,CN(C)Cc1ccc(/C=C/c2n[nH]c3cc([C@@H]4C[C@@]45C(=O)Nc4ccccc45)ccc23)cc1,IC50,'<',100,nM,,,748945,UO_0000065,,,,,0,CHEMBL5733415,Inhibition Assay: The enzymatic activity of FLT3 was determined using the Z-Lyte assay kit from Invitrogen (Invitrogen cat #PV3191). The assay was performed using the recommended manufacturer's instructions with 117.5 uM ATP and 1 nM FLT3 (Invitrogen cat #PV3182). The % inhibition values were determined according to the manufacturer's directions and IC50 values were obtained using a non-linear 4 point logistic curve fit (XLfit4,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4456471,,None,419.49,0,3.56,46,CN1CCC(Nc2ccc(C(=O)Nc3cc(-c4ccc5c(c4)OCO5)n[nH]3)cc2)CC1,IC50,'=',1.336,nM,8.87,,,UO_0000065,21.15,0.39,5.31,9.7,0,CHEMBL4353138,Inhibition of human FLT3 ITD mutant using EAIYAAPFAKKK peptide as substrate in presence of 33P-gamma ATP by hotspot kinase assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,UNDEFINED MUTATION,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL4350983,1,Scientific Literature,Eur J Med Chem,2019,None,,,,1.336
CHEMBL4440687,,None,455.47,0,4.16,48,CN1CCC(Nc2ccc(C(=O)Nc3cc(-c4ccc5c(c4)OC(F)(F)O5)n[nH]3)cc2)CC1,IC50,'=',123.9,nM,6.91,,,UO_0000065,15.16,0.29,2.75,7.55,0,CHEMBL4353138,Inhibition of human FLT3 ITD mutant using EAIYAAPFAKKK peptide as substrate in presence of 33P-gamma ATP by hotspot kinase assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,UNDEFINED MUTATION,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL4350983,1,Scientific Literature,Eur J Med Chem,2019,None,,,,123.9
CHEMBL4520082,,None,442.55,0,3.1,18,CCN(CC)CCCNC(=O)c1ccc(Nc2nnc(-c3cc(C(N)=O)cs3)o2)cc1,IC50,'=',774.7,nM,6.11,,,UO_0000065,13.81,0.27,3.01,4.84,0,CHEMBL4353138,Inhibition of human FLT3 ITD mutant using EAIYAAPFAKKK peptide as substrate in presence of 33P-gamma ATP by hotspot kinase assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,UNDEFINED MUTATION,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL4350983,1,Scientific Literature,Eur J Med Chem,2019,None,,,,774.7
CHEMBL4456471,,None,419.49,0,3.56,46,CN1CCC(Nc2ccc(C(=O)Nc3cc(-c4ccc5c(c4)OCO5)n[nH]3)cc2)CC1,IC50,'=',17.72,nM,7.75,,,UO_0000065,18.48,0.34,4.19,8.47,0,CHEMBL4353153,Inhibition of human FLT3 Y591_V592insVDFREYEYD mutant using EAIYAAPFAKKK peptide as substrate in presence of 33P-gamma ATP by hotspot kinase assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,UNDEFINED MUTATION,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL4350983,1,Scientific Literature,Eur J Med Chem,2019,None,,,,17.72
CHEMBL4468020,,None,538.58,1,4.57,23,O=C(CC(F)(F)F)N1CCN(Cc2ccnc(Nc3nc4ccc(-c5cnn(CC6CC6)c5)cc4[nH]3)c2)CC1,IC50,'=',9,nM,8.05,,,UO_0000065,14.94,0.28,3.48,8.47,0,CHEMBL4380524,Inhibition of recombinant human N-terminal GST-tagged FLT3 (564 to end residues) expressed in sf21 cells using biotin labelled Ahx-GGEEEEYFELVKKKK peptide as substrate preincubated with enzyme for 15 mins followed by substrate addition and further incubated for 45 mins in presence of 10 uM of ATP by TR-FRET assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf21,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL4376867,1,Scientific Literature,J Med Chem,2020,CHEMBL4106362,,,,9
CHEMBL4515413,,None,509.54,1,4.67,26,Cc1cc(-c2ccc3nc(Nc4cc(CN5CCN(C(=O)CC(F)(F)F)CC5)ccn4)[nH]c3c2)ccn1,IC50,'=',0.3,nM,9.52,,,UO_0000065,18.69,0.35,4.85,10.58,0,CHEMBL4380524,Inhibition of recombinant human N-terminal GST-tagged FLT3 (564 to end residues) expressed in sf21 cells using biotin labelled Ahx-GGEEEEYFELVKKKK peptide as substrate preincubated with enzyme for 15 mins followed by substrate addition and further incubated for 45 mins in presence of 10 uM of ATP by TR-FRET assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf21,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL4376867,1,Scientific Literature,J Med Chem,2020,CHEMBL4106362,,,,0.3
CHEMBL3417194,,None,529.64,2,5.15,40,O=C(CCCCCCC(=O)N1C/C=C/COCc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1)NO,IC50,'=',833,nM,6.08,,,UO_0000065,11.48,0.21,0.93,5.21,0,CHEMBL3419625,Inhibition of human recombinant FLT3 after 1 hr by LanthaScreen assay platform,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3414525,1,Scientific Literature,Eur J Med Chem,2015,None,,,,833
CHEMBL3908068,,None,491.55,0,3.76,629,COC[C@@H](CN(c1cc(OC)cc(OC)c1)c1ccc2ncc(-c3cnn(C)c3)nc2c1)OC(C)=O,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5
CHEMBL3986631,,None,492.54,0,3.61,784,COc1cc(OC)cc(N(CC#Cc2cnc(N)cn2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5
CHEMBL3969667,,None,575.46,2,5.95,785,COc1cccnc1C#CCN(c1ccc2ncc(-c3cnn(C)c3)nc2c1)c1c(Cl)c(OC)cc(OC)c1Cl,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5
CHEMBL3915268,,None,472.59,0,4.58,398,COc1cc(OC)cc(N(CCC2CCNCC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,IC50,'=',6918.31,nM,5.16,,,UO_0000065,10.92,0.2,0.58,6.67,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5.16
CHEMBL3962549,,None,407.45,0,3.7,401,CCOc1cc(F)cc(N(CCO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5
CHEMBL3935825,,None,595.02,1,4.01,95,COc1cc(OC)cc(N(CCCNC(=O)C(C)(O)C(F)(F)F)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1.Cl,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5
CHEMBL3891115,,None,432.53,0,4.17,437,COc1ccc(OC)c(N(CCNC(C)C)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5
CHEMBL3944739,,None,432.31,0,3.81,453,COc1ccc(Cl)c(N(CCO)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1.Cl,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5
CHEMBL3899692,,None,544.53,1,3.62,454,COc1cc(OC)cc(N(CCNC(=O)C(C)(O)C(F)(F)F)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5
CHEMBL3921197,,None,570.72,2,4.52,457,COc1cc(OC)cc(N(Cc2csc(C)n2)c2ccc3ncc(-c4cnn(CCN5CCNCC5)c4)nc3c2)c1,IC50,'=',7762.47,nM,5.11,,,UO_0000065,8.95,0.17,0.59,5.47,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5.11
CHEMBL3915021,,None,419.49,0,3.95,475,COc1cc(OC)cc(N(CC(C)(C)O)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5
CHEMBL3970423,,None,514.67,2,5.7,480,COc1cc(OC)cc(N(CCC2CCN(C(C)C)CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,IC50,'=',5011.87,nM,5.3,,,UO_0000065,10.3,0.19,-0.4,7.73,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5.3
CHEMBL3942328,,None,475.55,0,2.74,504,CNC(=O)Cn1cc(-c2cnc3ccc(N(CCCN)c4cc(OC)cc(OC)c4)cc3n2)cn1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5
CHEMBL3901420,,None,501.64,1,4.58,511,CNC(=O)c1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C(C)C)c4)nc3c2)c1,IC50,'=',2089.3,nM,5.68,,,UO_0000065,11.32,0.21,1.1,5.84,0,CHEMBL3880348,Inhibition of FLT3 (unknown origin) transfected in mouse BA/F3 cells assessed as decrease in cell proliferation in absence of mouse IL3 after 24 hrs by Alamar blue assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BaF3,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL3879910,38,SureChEMBL Patent Bioactivity Data,,2014,CHEMBL3307634,,,,5.68
