Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,,,,,,,,,,,,,,,,,,,
CHEMBL1242026,,None,283.34,0,2.67,PP323,Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,IC50,'=',31,nM,7.51,,,UO_0000065,26.5,0.49,4.84,8.36,0,CHEMBL1243972,Inhibition of recombinant c-Abl by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,0.031,,,,,,,,,,,,,,,,,,,
CHEMBL1242110,,None,287.3,0,2.5,PP77,CC(C)n1nc(-c2cccc(O)c2F)c2c(N)ncnc21,IC50,'=',75,nM,7.12,,,UO_0000065,24.8,0.46,4.62,7.93,0,CHEMBL1243972,Inhibition of recombinant c-Abl by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,0.075,,,,,,,,,,,,,,,,,,,
CHEMBL1240553,,None,339.4,0,3.21,PP90,COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,IC50,'=',1000,nM,6,,,UO_0000065,17.68,0.33,2.79,6.81,0,CHEMBL1243972,Inhibition of recombinant c-Abl by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,1,,,,,,,,,,,,,,,,,,,
CHEMBL1242660,,None,343.39,0,2.68,PP64,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)cc(OC)c1OC,IC50,'=',830,nM,6.08,,,UO_0000065,17.71,0.33,3.4,6.25,0,CHEMBL1243972,Inhibition of recombinant c-Abl by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,0.83,,,,,,,,,,,,,,,,,,,
CHEMBL1172586,,None,485.47,1,5.5,12c,Cc1ccc(C(=O)Nc2cc(-n3ccnc3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,IC50,'=',102,nM,6.99,,,UO_0000065,14.4,0.27,1.49,10.89,0,CHEMBL1176861,Inhibition of human ABL T315I mutant after 2 hrs by TR-FRET assay,B,BAO_0000224,protein format,Homo sapiens,None,None,None,None,,P00519,T315I,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1177713,1,Scientific Literature,J Med Chem,2010,None,,,,102,,,,,,,,,,,,,,,,,,,
CHEMBL1172719,,None,504.64,1,4.31,20o,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C3CC3)c2)cc1C#Cc1cnc2cccnn12,IC50,'=',71,nM,7.15,,,UO_0000065,14.17,0.26,2.84,10.87,0,CHEMBL1176861,Inhibition of human ABL T315I mutant after 2 hrs by TR-FRET assay,B,BAO_0000224,protein format,Homo sapiens,None,None,None,None,,P00519,T315I,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1177713,1,Scientific Literature,J Med Chem,2010,None,,,,71,,,,,,,,,,,,,,,,,,,
CHEMBL2408498,,None,406.37,0,3.72,16,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)Nc1ncccc1F,IC50,'=',2260,nM,5.65,,,UO_0000065,13.89,0.26,1.93,5.55,0,CHEMBL2411904,Inhibition of ABL T315I mutant (unknown origin),B,BAO_0000224,protein format,Homo sapiens,None,None,None,None,,P00519,T315I,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL2406924,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,2.26,,,,,,,,,,,,,,,,,,,
CHEMBL1170563,,None,390.53,1,5.54,7c,N#Cc1c(SCC(=O)c2ccccc2)nc2c(c1-c1ccsc1)CCCC2,IC50,'>',150000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL1173925,Inhibition of human recombinant histidine-tagged ABL (230-517) expressed in Sf9 cells by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1177872,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3308860,,,,150,,,,,,,,,,,,,,,,,,,
CHEMBL1172147,,None,410.91,0,4.76,13g,N#Cc1c(N)nc(SCC(=O)c2ccc(Cl)cc2)c(C#N)c1-c1ccsc1,IC50,'=',60000,nM,4.22,,,UO_0000065,10.27,0.21,-0.54,4.08,0,CHEMBL1173925,Inhibition of human recombinant histidine-tagged ABL (230-517) expressed in Sf9 cells by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1177872,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3308860,,,,60,,,,,,,,,,,,,,,,,,,
CHEMBL2408509,,None,402.41,0,3.89,10,Cc1ccc(NC(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)nc1,IC50,'=',880,nM,6.06,,,UO_0000065,15.05,0.28,2.17,5.96,0,CHEMBL2411904,Inhibition of ABL T315I mutant (unknown origin),B,BAO_0000224,protein format,Homo sapiens,None,None,None,None,,P00519,T315I,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL2406924,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,0.88,,,,,,,,,,,,,,,,,,,
CHEMBL2408506,,None,424.45,0,1.99,24,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)NCCN1CCOCC1,IC50,'=',4310,nM,5.37,,,UO_0000065,12.64,0.24,3.38,5.3,0,CHEMBL2411905,Inhibition of wild-type ABL1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL2406924,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,4.31,,,,,,,,,,,,,,,,,,,
CHEMBL2408505,,None,401.42,0,3.86,23,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)NCc1ccccc1,IC50,'=',2270,nM,5.64,,,UO_0000065,14.06,0.26,1.78,6.36,0,CHEMBL2411905,Inhibition of wild-type ABL1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL2406924,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,2.27,,,,,,,,,,,,,,,,,,,
CHEMBL2408501,,None,466.29,0,4.95,19,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccc(Br)cc1,IC50,'=',290,nM,6.54,,,UO_0000065,14.02,0.3,1.59,7.36,0,CHEMBL2411905,Inhibition of wild-type ABL1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL2406924,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,0.29,,,,,,,,,,,,,,,,,,,
CHEMBL2408505,,None,401.42,0,3.86,23,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)NCc1ccccc1,IC50,'=',3160,nM,5.5,,,UO_0000065,13.7,0.25,1.64,6.2,0,CHEMBL2411904,Inhibition of ABL T315I mutant (unknown origin),B,BAO_0000224,protein format,Homo sapiens,None,None,None,None,,P00519,T315I,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL2406924,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,3.16,,,,,,,,,,,,,,,,,,,
CHEMBL2408502,,None,466.29,0,4.95,20,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)Nc1cccc(Br)c1,IC50,'=',1200,nM,5.92,,,UO_0000065,12.7,0.27,0.97,6.67,0,CHEMBL2411904,Inhibition of ABL T315I mutant (unknown origin),B,BAO_0000224,protein format,Homo sapiens,None,None,None,None,,P00519,T315I,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL2406924,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,1.2,,,,,,,,,,,,,,,,,,,
CHEMBL2408500,,None,401.42,0,4.49,18,Cc1ccc(NC(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)cc1,IC50,'=',560,nM,6.25,,,UO_0000065,15.57,0.28,1.76,7.04,0,CHEMBL2411904,Inhibition of ABL T315I mutant (unknown origin),B,BAO_0000224,protein format,Homo sapiens,None,None,None,None,,P00519,T315I,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL2406924,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,0.56,,,,,,,,,,,,,,,,,,,
CHEMBL3092314,,None,531.03,2,5.19,8l,CCN(CC)CCCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,IC50,'=',566,nM,6.25,,,UO_0000065,11.76,0.23,1.06,6.21,0,CHEMBL3095046,Inhibition of recombinant ABL (unknown origin) using poly (Glu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3297957,,None,357.37,0,3.6,7,c1ccc(-c2ccnc(Nc3ncnc4cc5c(cc34)OCCO5)n2)cc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL3300696,Inhibition of Abl1 (unknown origin) assessed as incorporation of [32P] gamma-ATP in to myelin basic protein after 30 mins by autoradiographic analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL3297684,1,Scientific Literature,J Med Chem,2014,None,,,,10,,,,,,,,,,,,,,,,,,,
CHEMBL5917882,,None,310.33,0,3,BDBM514964,Cc1ccncc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,IC50,'=',55,nM,7.26,,1080743,UO_0000065,23.39,0.43,4.26,12.24,0,CHEMBL5737219,Kinase Assay: c-abl: ADP-Glo assay kit was purchased from Promega. Magnesium chloride (MgCl2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5795173,,None,323.37,0,3.91,BDBM515000,Cc1cccc(C)c1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,IC50,'<',10,nM,,,1080851,UO_0000065,,,,,0,CHEMBL5737219,Kinase Assay: c-abl: ADP-Glo assay kit was purchased from Promega. Magnesium chloride (MgCl2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL6001012,,None,343.33,0,3.45,BDBM515001,Cc1cc(F)c(O)cc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,IC50,'<',10,nM,,,1080854,UO_0000065,,,,,0,CHEMBL5737219,Kinase Assay: c-abl: ADP-Glo assay kit was purchased from Promega. Magnesium chloride (MgCl2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2311808,,None,461.53,1,5.34,2a,Cc1cn(-c2cccc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c2)cn1,IC50,'=',2953,nM,5.53,,,UO_0000065,11.98,0.22,0.19,5.66,0,CHEMBL2319492,Inhibition of human ABL1 using EAIYAAPFAKKK peptide substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL2311368,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,2953,,,,,,,,,,,,,,,,,,,
CHEMBL217092,SARACATINIB,3,542.04,1,3.94,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5857451,,None,342.35,0,2.9,BDBM515032,NCc1c(F)cccc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,IC50,'>',1000,nM,,,1080945,UO_0000065,,,,,0,CHEMBL5737219,Kinase Assay: c-abl: ADP-Glo assay kit was purchased from Promega. Magnesium chloride (MgCl2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5983058,,None,384.43,0,3.93,BDBM515039,CC(C)NCc1c(F)cccc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,IC50,'>',1000,nM,,,1080966,UO_0000065,,,,,0,CHEMBL5737219,Kinase Assay: c-abl: ADP-Glo assay kit was purchased from Promega. Magnesium chloride (MgCl2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5903717,,None,401.41,0,3.6,BDBM515040,COCCOCc1c(F)cccc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,IC50,'=',55,nM,7.26,,1080969,UO_0000065,18.09,0.34,3.66,11.19,0,CHEMBL5737219,Kinase Assay: c-abl: ADP-Glo assay kit was purchased from Promega. Magnesium chloride (MgCl2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL6014810,,None,387.39,0,2.95,BDBM515041,O=C(Nc1cn2cc(-c3cccc(F)c3COCCO)ccc2n1)[C@@H]1C[C@@H]1F,IC50,'=',550,nM,6.26,,1080972,UO_0000065,16.16,0.31,3.31,8.25,0,CHEMBL5737219,Kinase Assay: c-abl: ADP-Glo assay kit was purchased from Promega. Magnesium chloride (MgCl2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL120319,,None,415.68,1,5.26,10,Clc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Br)c4)c23)c1,IC50,'=',1360,nM,5.87,,,UO_0000065,14.11,0.32,0.61,7.47,0,CHEMBL847373,Inhibitory activity against v-Abl tyrosine kinase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1130217,1,Scientific Literature,J Med Chem,1997,None,,,,1.36,,,,,,,,,,,,,,,,,,,
CHEMBL5028912,,None,340.42,0,4.88,BDBM445951,Cc1cccc(C)c1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)sc2c1,IC50,'=',11.9,nM,7.92,,1019555,UO_0000065,23.28,0.45,3.04,18.87,1,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5758443,,None,241.32,0,3.25,BDBM445974,Cc1ccncc1-c1ccc2nc(N)sc2c1,IC50,'>',2000,nM,,,1019578,UO_0000065,,,,,1,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL543362,,None,333.86,0,3.79,15,CN(C)CCCC(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL847372,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,B,BAO_0000249,cell membrane format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1128740,1,Scientific Literature,J Med Chem,1995,None,,,,100,,,,,,,,,,,,,,,,,,,
CHEMBL5869540,,None,384.43,0,4.16,BDBM490106,COC(=O)[C@@H]1CC1C(=O)Nc1nc2cc(-c3c(C)cccc3F)ccc2s1,IC50,'>',2000,nM,,,1019584,UO_0000065,,,,,0,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5823377,,None,362.38,1,5,BDBM445988,Cc1cccc(F)c1-c1ccc2nc(NC(=O)C3CC3(F)F)sc2c1,IC50,'=',27.5,nM,7.56,,1019590,UO_0000065,20.86,0.41,2.56,18.01,1,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL6059739,,None,358.41,1,5.1,BDBM445990,Cc1cccc(F)c1-c1ccc2nc(NC(=O)C3CC(F)C3)sc2c1,IC50,'=',339,nM,6.47,,1019592,UO_0000065,18.05,0.35,1.37,15.41,1,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5947712,,None,376.4,1,5.39,BDBM445991,Cc1cccc(F)c1-c1ccc2nc(NC(=O)C3CC(F)(F)C3)sc2c1,IC50,'=',876,nM,6.06,,1019593,UO_0000065,16.09,0.32,0.67,14.43,1,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5941886,,None,359.4,0,4.49,BDBM445999,Cc1c(F)cncc1-c1ccc2nc(NC(=O)C3CC(F)C3)sc2c1,IC50,'=',24.4,nM,7.61,,1019601,UO_0000065,21.18,0.42,3.12,13.87,1,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL6018936,,None,377.39,0,4.79,BDBM446000,Cc1c(F)cncc1-c1ccc2nc(NC(=O)C3CC(F)(F)C3)sc2c1,IC50,'=',35.7,nM,7.45,,1019602,UO_0000065,19.73,0.39,2.66,13.57,1,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5795400,,None,355.46,1,5.04,BDBM490126,Cc1ccncc1-c1ccc2nc(N(C)C(=O)OC(C)(C)C)sc2c1,IC50,'>',10000,nM,,,1019604,UO_0000065,,,,,0,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5796687,,None,365.46,0,4.58,BDBM445958,CC(=O)Nc1ccc(C)c(-c2ccc3nc(NC(=O)C4CC4)sc3c2)c1,IC50,'=',22.6,nM,7.65,,1019686,UO_0000065,20.92,0.4,3.07,10.76,1,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5744631,,None,334.4,0,4.19,BDBM446039,O=C(Nc1nc2ccc(-c3cnc4[nH]ccc4c3)cc2s1)C1CC1,IC50,'=',1.6,nM,8.8,,1019641,UO_0000065,26.3,0.5,4.61,12.45,1,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5757470,,None,400.48,0,4.46,BDBM446043,Cc1cn(C2CCCCO2)nc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)sc2c1,IC50,'=',758,nM,6.12,,1019645,UO_0000065,15.28,0.3,1.66,8.86,1,CHEMBL5736634,Kinase Assay: c-abl kinase activity was measured by Promega's ADP-Glo Assay. In this assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
